;B302004075;B302047407;B9011919;B144799;B2371301;B302003714;B9011899;B144753;B148397;B149079;B147743;B147813;B148411;B147854;B147967;B302003809;B2371142;B302047620;B302003490;B302003491;B302003502;B302004609;B148390;B302004900;B302004963;B302005145;B302005123;B147732;B302003481;B302003605;B302047748;B302040760;B148389;B2366180;B302022703;B2365832;B148472;B302004712;B2371423;B302003523;B302003997;B144883;B147890;B147891;B147892;B147893;B147894;B148187;B148188;B148189;B148190;B148191;B148195;B148200;B148225;B144826;B144827;B144828;B144829;B144830;B144832;B144834;B144835;B144836;B144838;B144840;B144842;B144843;B144844;B144845;B144846;B144848;B144851;B302047285;B140995;B144854;B302003407;B148374;B2365849;B3169117;B148308;B9011601;B148479;B2366128;B2366130;B302004856;B2366364;B3169173;B9039319;B147292;B302005165;B148157;B144780;B2371037;B2370933;B302047376;B148178;B2370935;B148269;B2371345;B148576;B302061490;B302021450;B302023364;B302061489;B302004269;B302047394;B2371154;B302031998;B302031999;B302004277;B302047287;B148193;B302040617;B2371363;B302047541;B2371408;B302022469;B302047278;B144902;B2365831;B9011880;B148145;B148156;B2371397;B147146;B302022521;B9001408;B148504;B2365846;B2371314;B2370982;B302003902;B302003673;B148570;B2371056;B2371136;B9001565;B144910;B9040174;B144764;B144765;B2371471;B2371173;B2371361;B9001281;B9039412;B148278;B144759;B302047398;B144784;B302003492;B147182;B147183;B302003689;B2366282;B302003431;B147108;B302047590
0;-51973.09467745782;-29792.110629195853;-89780.26266194784;-49379.393491057155;-140260.69963899543;;-89550.29797860568;-41086.31176276596;-40077.047486185766;-39968.57716183264;-29694.42988278352;-26273.23733182456;-40535.09728152526;-60047.16467363463;-39101.96757895072;-85279.12788361855;-34355.0760502395;-14153.50167661186;-18513.585202257484;-16397.84493189277;-21096.229663173814;;-33376.44573646882;-19045.959427414105;-16289.849669232675;-37867.19359371991;-10461.297284906192;-24410.10067196406;;;;-73547.92397850093;-37254.15221386816;-56088.18241611822;-86588.59132773404;-107644.47974738854;-50480.8856809827;-119131.88296074668;-196375.64044311186;-58619.37971926489;-29888.85233379577;-52939.92585439619;-46242.45618215843;-46081.125426125414;-46517.85594738159;-40080.628782484935;-45457.01519961044;-46012.80262980748;-38072.6250955342;-38054.16417899521;-47317.612332937315;-37110.64869408215;-30176.12383736096;-58999.76602095574;-43657.03263897111;-43307.27392328954;-28020.568186856668;-25266.57407807715;-38983.00685441558;-26875.08394812141;-40090.19018930497;-29981.580877547465;-44606.80137780712;-36145.356951550886;-40502.464982151316;-31990.35700666401;-37910.48626225702;-30500.711662946625;-44678.39288343059;-31980.047835312325;-27237.793387552945;-46902.22335346917;-19245.846030118093;-44841.40505318112;-50616.90274392427;-41136.35116165938;-18667.186378051563;-32291.467679855377;-39290.71456743524;-37860.53416275933;-84820.91694630719;-69104.09055649083;-69778.19032081426;-306053.9891620738;-74561.44230686815;-50253.70582599666;-64297.25027293712;-27729.661024209996;-38463.38446824884;-24559.076389910457;-27624.972253645057;-130784.23151102848;-26004.880480498712;-37108.845354436;-50219.202061348326;-40087.99912536858;-73560.09492643837;-69351.80173889424;-46065.76213162648;-31068.97206213262;-78715.28436463537;;-9882.007032200241;-18762.718705776908;;;-6042.0653212471425;;-23244.573672233426;1225.0;;;-65671.06058217911;;-51365.287481199506;-26447.779086985713;-70641.51179174808;-31330.780698688577;;-58949.27308921451;-40048.671261532865;-169723.28743313393;-103655.32013563342;-64111.89436378228;-103546.74493040892;-142932.43756370808;-16303.164478857778;-347591.72034454334;-69308.09108887991;-99721.13251758582;-42987.145330001214;-67371.26408206121;-70368.01280860548;-34278.064827256785;-108294.33667567592;-33228.61677350145;-57071.07229327489;-45589.454456086125;-98942.46322685825;-43111.794690146184;-138690.9621306529;-158509.29721786192;-157041.2360517504;-97951.49511788337;-50485.572769219056;-141722.78870654918;-46614.116144597145;-35417.103466690445;-28181.53495318347;-16485.44854453989;-17380.19481496432;-16582.831627426178;-33227.25565665757;-32852.25565665757;-21160.918996344284;;-24986.96024797951;-21851.198411511497;-18772.982979303808
1;-50333.4037683669;-28867.587901923125;-87012.60357103875;-47810.99349105715;-135910.69963899543;;-86663.4888876966;-39803.07539912959;-38829.456577094854;-38720.98625274173;-28759.884428238063;-25446.032786370015;-39273.46091788889;-58147.34649181645;-37890.02212440526;-82423.13924725492;-33250.066959330405;-13720.297131157316;-17956.60792953021;-15902.754022801862;-20450.41148135563;;-32307.08210010518;-18453.959427414105;-15794.758760141767;-36652.28450281082;-10148.751830360738;-23631.555217418605;;;;-71104.13988759184;-36085.970395686345;-54341.55514339095;-83703.15950955224;-104197.12520193399;-48802.71295370997;-115206.88296074668;-189800.64044311186;-56751.22517381034;-28954.306879250315;-51230.08949075983;-44887.36527306752;-44726.0345170345;-45162.76503829068;-38865.71969157585;-44102.487926883165;-44658.2753570802;-36951.17055007965;-36932.70963354067;-45927.43960566458;-36005.639603173055;-29241.578382815504;-57288.78420277392;-42348.66900260747;-42059.68301419863;-27193.363641402124;-24488.028623531693;-37842.35230896103;-26047.879402666866;-38875.281098395884;-29105.717241183826;-43287.9195596253;-35070.629678823614;-39254.874073060404;-31009.08427939128;-36805.47717134793;-29576.188935673898;-43416.756519794224;-30998.775108039597;-26410.5888420984;-45512.05062619643;-18653.846030118093;-43451.232325908386;-49012.857289378815;-39827.98752529574;-18110.20910532429;-31263.467679855377;-38043.12365834433;-36648.58870821387;-82229.91694630719;-66824.308738309;-67688.39032081426;-296778.9891620738;-72313.32412504997;-48685.30582599665;-62175.786636573466;-26853.797387846356;-37248.47537733975;-23805.62184445591;-26749.108617281418;-126709.23151102848;-25177.675935044168;-35932.545354436;-48615.15660680287;-38804.762761732214;-71343.64038098382;-67262.00173889424;-44604.29849526284;-30087.69933485989;-76035.95481918083;;-9572.575214018423;-18205.741433049636;;;-5854.6410939744155;;-22544.93730859706;1225.0;;;-63549.59694581545;;-49655.45111756314;-25620.57454153117;-68551.71179174808;-30349.50797141585;;-57049.454907396335;-38787.0348978965;-164573.28743313393;-100628.37468108797;-62212.076181964105;-100519.79947586347;-138607.43756370808;-15808.07356976687;-337116.72034454334;-67249.95472524354;-96806.29615394946;-41739.5544209103;-65376.45499115212;-67983.11508133275;-33203.33755452951;-105127.2548574941;-32153.889500774185;-55202.917747820335;-44163.63627426794;-95719.3268632219;-41757.26741741891;-134290.9621306529;-153484.29721786192;-152066.2360517504;-94756.38602697427;-48917.17276921905;-136997.78870654918;-45152.65250823351;-34295.6489212359;-27305.67131681983;-15990.35763544898;-16842.0129967825;-16087.74071833527;-32199.255656657573;-31824.255656657573;-20515.1008145261;;-24208.414793434054;-21205.380229693314;-18216.005706576536
2;-48693.712859276;-27943.065174650397;-84244.94448012965;-46242.59349105715;-131560.69963899543;;-83776.6797967875;-38519.839035493234;-37581.86566800395;-37473.39534365082;-27825.338973692607;-24618.82824091547;-38011.82455425253;-56247.52830999828;-36678.07666985981;-79567.15061089127;-32145.05786842132;-13287.092585702769;-17399.630656802936;-15407.66311371095;-19804.593299537453;;-31237.71846374155;-17861.959427414105;-15299.667851050855;-35437.375411901725;-9836.206375815282;-22853.009762873153;;;;-68660.35579668274;-34917.78857750452;-52594.927870663676;-80817.7276913704;-100749.77065647946;-47124.54022643724;-111281.88296074668;-183225.64044311186;-54883.07062835581;-28019.76142470486;-49520.25312712346;-43532.27436397661;-43370.9436079436;-43807.674129199775;-37650.81060066675;-42747.9606541559;-43303.748084352934;-35829.71600462511;-35811.25508808612;-44537.266878391856;-34900.63051226397;-28307.032928270048;-55577.802384592105;-41040.30536624384;-40812.092105107724;-26366.15909594758;-23709.48316898624;-36701.69776350649;-25220.67485721232;-37660.37200748679;-28229.853604820193;-41969.037741443484;-33995.90240609634;-38007.2831639695;-30027.811552118554;-35700.46808043884;-28651.66620840117;-42155.120156157864;-30017.50238076687;-25583.384296643857;-44121.87789892371;-18061.846030118093;-42061.059598635664;-47408.811834833374;-38519.62388893211;-17553.231832597015;-30235.467679855377;-36795.53274925343;-35436.64325366842;-79638.91694630717;-64544.526920127195;-65598.59032081427;-287503.9891620738;-70065.20594323179;-47116.905825996655;-60054.32300020984;-25977.933751482724;-36033.56628643066;-23052.16729900137;-25873.244980917785;-122634.23151102848;-24350.471389589624;-34756.245354436;-47011.11115225743;-37521.526398095855;-69127.18583552928;-65172.20173889425;-43142.83485889921;-29106.426607587164;-73356.62527372627;;-9263.143395836603;-17648.76416032236;;;-5667.216866701688;;-21845.3009449607;1225.0;;;-61428.13330945183;;-47945.61475392678;-24793.369996076624;-66461.91179174809;-29368.23524414312;;-55149.63672557816;-37525.39853426014;-159423.28743313393;-97601.42922654252;-60312.25800014593;-97492.85402131802;-134282.43756370808;-15312.982660675958;-326641.72034454334;-65191.81836160719;-93891.4597903131;-40491.9635118194;-63381.645900243035;-65598.21735406002;-32128.61028180224;-101960.17303931229;-31079.162228046913;-53334.76320236581;-42737.818092449765;-92496.19049958554;-40402.74014469164;-129890.96213065289;-148459.29721786192;-147091.2360517504;-91561.27693606517;-47348.77276921905;-132272.78870654918;-43691.188871869876;-33174.19437578136;-26429.807680456197;-15495.266726358068;-16303.831178600685;-15592.649809244358;-31171.255656657573;-30796.255656657573;-19869.282632707924;;-23429.869338888602;-20559.562047875137;-17659.02843384926
3;-47054.02195018508;-27018.54244737767;-81477.28538922056;-44674.19349105715;-127210.69963899544;;-80889.87070587842;-37236.60267185687;-36334.27475891304;-36225.80443455991;-26890.79351914715;-23791.62369546092;-36750.188190616165;-54347.710128180086;-35466.13121531435;-76711.16197452764;-31040.048777512227;-12853.888040248225;-16842.653384075664;-14912.572204620043;-19158.77511771927;;-30168.35482737791;-17269.959427414105;-14804.576941959947;-34222.46632099264;-9523.660921269828;-22074.464308327697;;;;-66216.57170577365;-33749.606759322705;-50848.3005979364;-77932.29587318859;-97302.41611102491;-45446.36749916451;-107356.88296074668;-176650.64044311186;-53014.916082901254;-27085.215970159403;-47810.4167634871;-42177.1834548857;-42015.85269885269;-42452.58322010886;-36435.90150975766;-41393.433381428615;-41949.22081162565;-34708.26145917056;-34689.80054263157;-43147.09415111913;-33795.621421354874;-27372.487473724592;-53866.82056641028;-39731.9417298802;-39564.50119601681;-25538.95455049303;-22930.937714440784;-35561.04321805194;-24393.47031175777;-36445.4629165777;-27353.989968456553;-40650.155923261664;-32921.17513336907;-36759.69225487859;-29046.538824845826;-34595.45898952975;-27727.14348112844;-40893.483792521496;-29036.22965349414;-24756.179751189306;-42731.70517165098;-17469.846030118093;-40670.886871362934;-45804.7663802879;-37211.26025256847;-16996.254559869743;-29207.467679855377;-35547.941840162515;-34224.697799122965;-77047.91694630719;-62264.74510194538;-63508.79032081427;-278228.9891620738;-67817.08776141361;-45548.50582599665;-57932.859363846204;-25102.070115119084;-34818.65719552157;-22298.71275354682;-24997.381344554145;-118559.23151102848;-23523.266844135072;-33579.945354436;-45407.06569771196;-36238.29003445949;-66910.73129007473;-63082.401738894245;-41681.37122253557;-28125.153880314436;-70677.29572827173;;-8953.711577654785;-17091.786887595088;;;-5479.792639428961;;-21145.664581324334;1225.0;;;-59306.66967308819;;-46235.77839029041;-23966.165450622073;-64372.11179174808;-28386.962516870393;;-53249.81854375997;-36263.76217062377;-154273.28743313393;-94574.48377199707;-58412.43981832774;-94465.90856677257;-129957.43756370808;-14817.89175158505;-316166.72034454334;-63133.68199797082;-90976.62342667674;-39244.37260272849;-61386.83680933394;-63213.319626787285;-31053.88300907497;-98793.09122113047;-30004.43495531964;-51466.60865691125;-41311.99991063158;-89273.05413594916;-39048.21287196436;-125490.96213065289;-143434.29721786192;-142116.2360517504;-88366.1678451561;-45780.37276921905;-127547.7887065492;-42229.72523550624;-32052.73983032681;-25553.944044092557;-15000.17581726716;-15765.649360418865;-15097.55890015345;-30143.255656657573;-29768.255656657573;-19223.46445088974;;-22651.323884343146;-19913.743866056953;-17102.051161121988
4;-45414.33104109418;-26094.01972010495;-78709.62629831147;-43105.79349105716;-122860.69963899544;;-78003.06161496932;-35953.36630822051;-35086.68384982213;-34978.21352546901;-25956.248064601696;-22964.419150006383;-35488.551826979805;-52447.891946361895;-34254.1857607689;-73855.17333816401;-29935.03968660314;-12420.68349479368;-16285.676111348394;-14417.481295529135;-18512.956935901086;;-29098.991191014276;-16677.9594274141;-14309.48603286904;-33007.55723008354;-9211.115466724374;-21295.918853782245;;;;-63772.78761486456;-32581.42494114089;-49101.67332520913;-75046.86405500678;-93855.06156557036;-43768.19477189178;-103431.88296074668;-170075.64044311186;-51146.7615374467;-26150.670515613947;-46100.58039985073;-40822.09254579479;-40660.761789761775;-41097.49231101795;-35220.99241884857;-40038.90610870135;-40594.693538898384;-33586.80691371601;-33568.34599717703;-41756.921423846405;-32690.612330445787;-26437.942019179136;-52155.83874822847;-38423.57809351657;-38316.91028692591;-24711.75000503849;-22152.392259895332;-34420.3886725974;-23566.265766303233;-35230.553825668605;-26478.12633209292;-39331.27410507985;-31846.44786064179;-35512.10134578768;-28065.266097573098;-33490.44989862066;-26802.62075385572;-39631.847428885136;-28054.956926221414;-23928.97520573477;-41341.53244437826;-16877.84603011809;-39280.71414409021;-44200.72092574246;-35902.89661620484;-16439.27728714247;-28179.467679855377;-34300.35093107161;-33012.752344577515;-74456.91694630719;-59984.96328376355;-61418.990320814264;-268953.9891620738;-65568.96957959542;-43980.10582599666;-55811.395727482566;-24226.206478755452;-33603.748104612474;-21545.258208092273;-24121.517708190513;-114484.23151102848;-22696.062298680536;-32403.645354436;-43803.02024316652;-34955.05367082313;-64694.276744620176;-60992.60173889424;-40219.90758617194;-27143.881153041708;-67997.9661828172;;-8644.279759472969;-16534.809614867816;;;-5292.368412156234;;-20446.02821768797;1225.0;;;-57185.20603672455;;-44525.94202665405;-23138.960905167536;-62282.31179174808;-27405.689789597665;;-51350.00036194178;-35002.12580698741;-149123.28743313393;-91547.5383174516;-56512.621636509546;-91438.96311222711;-125632.43756370808;-14322.800842494142;-305691.72034454334;-61075.545634334456;-88061.78706304038;-37996.78169363758;-59392.02771842484;-60828.421899514564;-29979.15573634769;-95626.00940294866;-28929.70768259236;-49598.4541114567;-39886.181728813404;-86049.91777231281;-37693.68559923709;-121090.96213065289;-138409.29721786192;-137141.2360517504;-85171.058754247;-44211.97276921906;-122822.7887065492;-40768.26159914261;-30931.285284872265;-24678.080407728925;-14505.084908176252;-15227.467542237046;-14602.467991062542;-29115.255656657573;-28740.255656657573;-18577.646269071556;;-21872.778429797694;-19267.92568423877;-16545.073888394716
5;-43774.64013200327;-25169.49699283222;-75941.9672074024;-41537.393491057155;-118510.69963899544;;-75116.25252406021;-34670.12994458414;-33839.09294073122;-33730.622616378096;-25021.702610056247;-22137.21460455183;-34226.915463343445;-50548.07376454373;-33042.24030622344;-70999.18470180038;-28830.030595694046;-11987.478949339133;-15728.698838621125;-13922.390386438226;-17867.138754082906;;-28029.627554650644;-16085.959427414105;-13814.395123778131;-31792.64813917446;-8898.57001217892;-20517.37339923679;;;;-61329.003523955485;-31413.243122959073;-47355.046052481855;-72161.43223682496;-90407.7070201158;-42090.02204461906;-99506.88296074668;-163500.64044311186;-49278.60699199217;-25216.1250610685;-44390.74403621438;-39467.001636703884;-39305.67088067087;-39742.40140192705;-34006.08332793949;-38684.37883597407;-39240.16626617111;-32465.352368261476;-32446.89145172249;-40366.748696573675;-31585.603239536693;-25503.396564633687;-50444.85693004664;-37115.214457152935;-37069.319377834996;-23884.54545958394;-21373.846805349876;-33279.73412714285;-22739.061220848682;-34015.644734759524;-25602.26269572928;-38012.39228689803;-30771.720587914526;-34264.51043669677;-27083.993370300377;-32385.440807711562;-25878.098026582993;-38370.211065248775;-27073.684198948693;-23101.770660280217;-39951.35971710553;-16285.846030118093;-37890.54141681748;-42596.675471197;-34594.532979841206;-15882.300014415201;-27151.467679855377;-33052.7600219807;-31800.80689003205;-71865.91694630719;-57705.18146558175;-59329.190320814276;-259678.9891620738;-63320.851397777245;-42411.70582599666;-53689.93209111894;-23350.342842391812;-32388.839013703393;-20791.80366263773;-23245.654071826873;-110409.23151102848;-21868.857753225984;-31227.345354435998;-42198.97478862105;-33671.817307186764;-62477.82219916565;-58902.80173889425;-38758.443949808294;-26162.608425768987;-65318.63663736266;;-8334.847941291151;-15977.83234214055;;;-5104.944184883507;;-19746.39185405161;1225.0;;;-55063.74240036093;;-42816.1056630177;-22311.756359712985;-60192.51179174809;-26424.417062324945;;-49450.182180123615;-33740.48944335105;-143973.28743313393;-88520.59286290614;-54612.803454691384;-88412.01765768164;-121307.43756370808;-13827.709933403234;-295216.72034454334;-59017.4092706981;-85146.950699404;-36749.19078454667;-57397.21862751576;-58443.52417224184;-28904.428463620425;-92458.92758476682;-27854.980409865097;-47730.29956600217;-38460.36354699522;-82826.78140867643;-36339.158326509816;-116690.96213065289;-133384.29721786192;-132166.2360517504;-81975.94966333789;-42643.572769219056;-118097.7887065492;-39306.79796277896;-29809.83073941773;-23802.216771365285;-14009.993999085344;-14689.285724055233;-14107.377081971634;-28087.255656657573;-27712.255656657573;-17931.828087253376;;-21094.23297525224;-18622.10750242059;-15988.096615667448
6;-42134.94922291236;-24244.974265559486;-73174.30811649328;-39968.99349105715;-114160.69963899544;;-72229.44343315113;-33386.89358094778;-32591.502031640313;-32483.031707287184;-24087.15715551079;-21310.010059097287;-32965.27909970708;-48648.25558272554;-31830.29485167798;-68143.19606543673;-27725.021504784952;-11554.274403884589;-15171.721565893846;-13427.299477347315;-17221.32057226472;;-26960.263918287004;-15493.959427414105;-13319.30421468722;-30577.739048265357;-8586.024557633464;-19738.827944691333;;;;-58885.21943304637;-30245.06130477725;-45608.41877975458;-69276.00041864313;-86960.35247466125;-40411.84931734633;-95581.88296074668;-156925.64044311186;-47410.452446537616;-24281.579606523042;-42680.90767257801;-38111.91072761297;-37950.57997157996;-38387.310492836135;-32791.174237030384;-37329.8515632468;-37885.638993443834;-31343.897822806917;-31325.436906267932;-38976.575969300946;-30480.5941486276;-24568.85111008823;-48733.87511186482;-35806.85082078929;-35821.728468744084;-23057.340914129396;-20595.30135080442;-32139.079581688304;-21911.856675394138;-32800.73564385042;-24726.39905936565;-36693.5104687162;-29696.993315187246;-33016.91952760586;-26102.720643027642;-31280.431716802468;-24953.575299310258;-37108.57470161241;-26092.411471675958;-22274.566114825673;-38561.1869898328;-15693.846030118093;-36500.36868954475;-40992.63001665154;-33286.16934347756;-15325.322741687922;-26123.467679855377;-31805.16911288979;-30588.861435486593;-69274.91694630719;-55425.39964739992;-57239.39032081427;-250403.9891620738;-61072.73321595905;-40843.30582599665;-51568.46845475529;-22474.47920602818;-31173.92992279429;-20038.349117183185;-22369.79043546324;-106334.23151102848;-21041.65320777144;-30051.045354435995;-40594.9293340756;-32388.5809435504;-60261.3676537111;-56813.00173889425;-37296.980313444656;-25181.335698496252;-62639.3070919081;;-8025.41612310933;-15420.85506941327;;;-4917.519957610779;;-19046.755490415242;1225.0;;;-52942.278763997274;;-41106.269299381325;-21484.55181425844;-58102.71179174809;-25443.14433505221;;-47550.36399830542;-32478.85307971468;-138823.28743313393;-85493.64740836069;-52712.98527287319;-85385.0722031362;-116982.43756370808;-13332.619024312322;-284741.72034454334;-56959.272907061735;-82232.11433576763;-35501.59987545576;-55402.40953660666;-56058.62644496911;-27829.701190893145;-89291.845766585;-26780.253137137817;-45862.145020547614;-37034.54536517704;-79603.64504504006;-34984.63105378254;-112290.96213065289;-128359.29721786191;-127191.2360517504;-78780.8405724288;-41075.17276921905;-113372.7887065492;-37845.33432641532;-28688.37619396317;-22926.353135001653;-13514.903089994432;-14151.10390587341;-13612.286172880722;-27059.255656657573;-26684.255656657573;-17286.009905435192;;-20315.687520706782;-17976.289320602405;-15431.119342940168
7;-40495.258313821454;-23320.451538286758;-70406.6490255842;-38400.59349105715;-109810.69963899544;;-69342.63434224203;-32103.65721731142;-31343.91112254941;-31235.44079819628;-23152.611700965343;-20482.80551364274;-31703.642736070717;-46748.43740090735;-30618.34939713253;-65287.207429073096;-26620.012413875866;-11121.069858430043;-14614.744293166577;-12932.208568256407;-16575.50239044654;;-25890.900281923372;-14901.959427414105;-12824.213305596311;-29362.829957356276;-8273.47910308801;-18960.282490145877;;;;-56441.435342137294;-29076.879486595433;-43861.791507027316;-66390.56860046131;-83512.99792920671;-38733.6765900736;-91656.88296074668;-150350.64044311186;-45542.297901083075;-23347.034151977594;-40971.07130894164;-36756.81981852207;-36595.489062489054;-37032.21958374523;-31576.265146121303;-35975.32429051953;-36531.111720716566;-30222.44327735238;-30203.982360813396;-37586.403242028224;-29375.585057718512;-23634.305655542783;-47022.89329368301;-34498.487184425656;-34574.13755965318;-22230.13636867485;-19816.755896258965;-30998.425036233763;-21084.65212993959;-31585.82655294134;-23850.53542300201;-35374.62865053439;-28622.26604245998;-31769.32861851496;-25121.44791575492;-30175.42262589338;-24029.05257203753;-35846.93833797605;-25111.138744403237;-21447.361569371125;-37171.01426256008;-15101.846030118093;-35110.19596227203;-39388.584562106094;-31977.805707113923;-14768.345468960653;-25095.467679855377;-30557.578203798887;-29376.915980941143;-66683.91694630719;-53145.61782921811;-55149.590320814255;-241128.9891620738;-58824.61503414087;-39274.905825996655;-49447.00481839165;-21598.61556966454;-29959.02083188521;-19284.894571728637;-21493.9267990996;-102259.23151102848;-20214.448662316892;-28874.745354436;-38990.88387953015;-31105.344579914043;-58044.91310825654;-54723.20173889423;-35835.516677081025;-24200.06297122353;-59959.977546453556;;-7715.984304927512;-14863.877796686002;;;-4730.095730338052;;-18347.11912677888;1225.0;;;-50820.815127633636;;-39396.43293574495;-20657.347268803893;-56012.91179174807;-24461.87160777949;;-45650.54581648723;-31217.21671607832;-133673.28743313393;-82466.70195381522;-50813.167091055;-82358.12674859073;-112657.43756370808;-12837.528115221414;-274266.72034454334;-54901.13654342537;-79317.27797213127;-34254.008966364854;-53407.600445697564;-53673.72871769639;-26754.97391816588;-86124.76394840318;-25705.525864410552;-43993.99047509307;-35608.72718335886;-76380.5086814037;-33630.10378105527;-107890.96213065289;-123334.29721786191;-122216.2360517504;-75585.73148151972;-39506.77276921905;-108647.7887065492;-36383.87069005169;-27566.921648508633;-22050.489498638013;-13019.812180903524;-13612.922087691593;-13117.195263789814;-26031.255656657573;-25656.255656657573;-16640.191723617012;;-19537.142066161327;-17330.471138784225;-14874.1420702129
8;-38855.56740473054;-22395.928811014037;-67638.98993467512;-36832.19349105715;-105460.69963899544;;-66455.82525133295;-30820.420853675052;-30096.320213458497;-29987.849889105368;-22218.066246419887;-19655.600968188195;-30442.006372434356;-44848.61921908919;-29406.403942587072;-62431.218792709464;-25515.00332296677;-10687.865312975497;-14057.767020439305;-12437.117659165498;-15929.684208628358;;-24821.536645559732;-14309.959427414105;-12329.122396505403;-28147.92086644718;-7960.9336485425565;-18181.737035600425;;;;-53997.651251228206;-27908.697668413617;-42115.164234300035;-63505.1367822795;-80065.64338375218;-37055.50386280088;-87731.88296074668;-143775.64044311186;-43674.143355628534;-22412.488697432138;-39261.23494530529;-35401.728909431156;-35240.39815339814;-35677.12867465432;-30361.356055212207;-34620.797017792254;-35176.58444798929;-29100.988731897836;-29082.52781535885;-36196.230514755494;-28270.575966809418;-22699.760200997327;-45311.91147550119;-33190.12354806202;-33326.54665056227;-21402.931823220304;-19038.210441713512;-29857.770490779214;-20257.447584485046;-30370.917462032245;-22974.671786638373;-34055.74683235257;-27547.538769732702;-30521.737709424047;-24140.175188482193;-29070.413534984287;-23104.52984476481;-34585.30197433969;-24129.86601713051;-20620.15702391658;-35780.84153528735;-14509.846030118093;-33720.0232349993;-37784.53910756064;-30669.44207075029;-14211.368196233381;-24067.467679855377;-29309.987294707975;-28164.970526395686;-64092.91694630719;-50865.83601103629;-53059.79032081427;-231853.9891620738;-56576.49685232269;-37706.50582599665;-47325.54118202803;-20722.751933300904;-28744.111740976114;-18531.440026274093;-20618.063162735965;-98184.23151102848;-19387.244116862348;-27698.445354435997;-37386.83842498469;-29822.108216277677;-55828.458562802014;-52633.401738894245;-34374.05304071739;-23218.790243950803;-57280.64800099903;;-7406.552486745696;-14306.90052395873;;;-4542.671503065325;;-17647.482763142518;1225.0;;;-48699.35149127001;;-37686.5965721086;-19830.14272334935;-53923.11179174808;-23480.59888050676;;-43750.72763466907;-29955.58035244196;-128523.28743313393;-79439.75649926977;-48913.34890923684;-79331.18129404528;-108332.43756370808;-12342.437206130506;-263791.72034454334;-52843.000179789015;-76402.44160849492;-33006.41805727394;-51412.79135478848;-51288.83099042367;-25680.2466454386;-82957.68213022136;-24630.798591683273;-42125.83592963853;-34182.90900154067;-73157.37231776734;-32275.576508327995;-103490.96213065289;-118309.29721786191;-117241.2360517504;-72390.62239061063;-37938.37276921905;-103922.7887065492;-34922.40705368805;-26445.46710305409;-21174.625862274377;-12524.721271812616;-13074.740269509777;-12622.104354698906;-25003.255656657573;-24628.255656657573;-15994.373541798828;;-18758.596611615874;-16684.65295696604;-14317.164797485628
9;-37215.87649563963;-21471.40608374131;-64871.330843766016;-35263.79349105716;-101110.69963899544;;-63569.01616042386;-29537.184490038693;-28848.729304367593;-28740.258980014463;-21283.52079187443;-18828.396422733655;-29180.37000879799;-42948.801037271;-28194.458488041622;-59575.23015634582;-24409.994232057685;-10254.660767520949;-13500.78974771203;-11942.026750074587;-15283.866026810174;;-23752.1730091961;-13717.959427414105;-11834.031487414491;-26933.011775538092;-7648.388193997101;-17403.191581054973;;;;-51553.8671603191;-26740.5158502318;-40368.53696157277;-60619.70496409766;-76618.28883829764;-35377.33113552815;-83806.88296074668;-137200.64044311186;-41805.98881017398;-21477.943242886682;-37551.39858166892;-34046.638000340245;-33885.30724430723;-34322.03776556341;-29146.44696430312;-33266.26974506499;-33822.05717526202;-27979.534186443285;-27961.0732699043;-34806.05778748277;-27165.56687590033;-21765.21474645187;-43600.92965731938;-31881.75991169838;-32078.95574147136;-20575.727277765764;-18259.66498716806;-28717.115945324673;-19430.243039030505;-29156.008371123156;-22098.80815027474;-32736.86501417076;-26472.81149700543;-29274.146800333143;-23158.902461209465;-27965.4044440752;-22180.00711749208;-33323.66561070332;-23148.59328985778;-19792.95247846204;-34390.66880801463;-13917.846030118093;-32329.850507726584;-36180.49365301519;-29361.07843438665;-13654.390923506106;-23039.467679855377;-28062.39638561707;-26953.025071850236;-61501.916946307174;-48586.05419285446;-50969.990320814264;-222578.9891620738;-54328.37867050451;-36138.10582599666;-45204.07754566439;-19846.88829693727;-27529.202650067025;-17777.985480819545;-19742.199526372333;-94109.23151102848;-18560.039571407808;-26522.145354436;-35782.792970439245;-28538.871852641318;-53612.004017347455;-50543.60173889424;-32912.589404353756;-22237.517516678075;-54601.31845554445;;-7097.120668563876;-13749.923251231454;;;-4355.247275792597;;-16947.84639950615;1225.0;;;-46577.887854906374;;-35976.76020847223;-19002.938177894808;-51833.31179174808;-22499.326153234033;;-41850.90945285088;-28693.943988805593;-123373.28743313393;-76412.81104472432;-47013.53072741865;-76304.23583949983;-104007.43756370808;-11847.346297039594;-253316.72034454334;-50784.86381615265;-73487.60524485855;-31758.82714818304;-49417.982263879385;-48903.93326315092;-24605.51937271133;-79790.60031203956;-23556.071318956;-40257.68138418398;-32757.090819722496;-69934.23595413099;-30921.049235600727;-99090.96213065289;-113284.29721786191;-112266.2360517504;-69195.51329970155;-36369.97276921906;-99197.7887065492;-33460.94341732442;-25324.012557599537;-20298.762225910745;-12029.630362721704;-12536.558451327957;-12127.013445607994;-23975.255656657573;-23600.255656657573;-15348.555359980644;;-17980.051157070422;-16038.834775147858;-13760.187524758352
