;Number of buildings;Min. demand;Max. demand;Av. demand;Min. PV output;Max. PV output;Av. PV output
PARKING;384.0;0.0;136320.41163291066;1236.2603154319786;0.0;1418347.006168252;21437.562893597784
GYM;16.0;1110.0799999999997;237063.9398905451;43018.028238833824;5842.88;414981.0911084818;93315.10199098123
LIBRARY;55.0;1490.1662578723215;261061.71399999998;19728.473637685405;5492.546622222222;247442.59000000003;69203.02577481214
RESTAURANT;6.0;597.8241578299053;25987.406693597008;9851.527642954976;7438.72909090909;79533.93634502924;38193.970120545055
RETAIL;254.0;543.6329999999999;4662366.337958086;310897.7811102584;1441.21775147929;1445150.5099999998;110257.10815042748
OFFICE;124.0;1686.4786578654766;2672467.6419999995;153942.7290017994;7457.051111111112;1005807.54;98307.86872766561
INDUSTRIAL;125.0;522.907;735697.3456134745;44684.06648700889;955.3699999999999;261720.08039855072;31799.127060867537
SINGLE_RES;779.0;1076.9444709010695;16325.157;2164.9126567407343;5821.616309012876;73185.73000000001;9573.390681538025
MULTI_RES;3066.0;628.3599060298209;678761.0090000001;12229.074805325647;2885.712183908046;856037.64;32033.074474900972
SCHOOL;71.0;2328.8970000000004;245779.07993935855;55646.48788468322;6999.290000000001;438089.8420643267;92945.66719320395
HOTEL;24.0;1667.7408421700945;194303.98085073213;25647.013817177078;15162.769999999999;394545.67476190475;59926.78841891759
HOSPITAL;15.0;340.5290000000001;390050.5413849525;110995.96900247004;1732.16;438610.3813003915;105215.43307816118
