;2050_False_100000;2019_False_100000;2019_True_100000;2019_True_1
inst_cum_com_median;0.0;3890.5;4089.5;4089.5
inst_cum_com_p5;0.0;692.5;692.5;692.5
inst_cum_com_p95;0.0;11397.399999999998;12731.649999999994;13018.799999999996
inst_cum_ind_median;10263.0;7330.0;7585.5;7585.5
inst_cum_ind_p5;5588.35;4236.6;4302.95;4302.95
inst_cum_ind_p95;19629.599999999995;19141.699999999986;19958.649999999987;19778.149999999987
n_com_median;0.0;50.0;52.5;54.5
n_com_p5;0.0;4.9;4.9;4.9
n_com_p95;0.0;199.99999999999994;209.64999999999992;217.94999999999993
n_ind_median;97.0;74.0;73.5;74.5
n_ind_p5;53.45;37.900000000000006;37.0;37.0
n_ind_p95;197.2;326.3;381.19999999999976;382.6999999999998
pol_cost_sub_com_median;0.0;4185210.0;4524650.0;4524650.0
pol_cost_sub_com_p5;0.0;639265.0;811885.0;811885.0
pol_cost_sub_com_p95;0.0;11528799.999999998;12434961.999999998;12486584.999999998
pol_cost_sub_ind_median;30008595.0;23595610.0;23217590.0;23115350.0
pol_cost_sub_ind_p5;17420328.0;12838452.0;12768573.0;12733149.0
pol_cost_sub_ind_p95;46820315.0;36873933.499999985;37305674.999999985;37248749.999999985
