bldg_name,bldg_type,bldg_owner,zone_id,plot_id,num_smart_meters,pv_size_kw,pv_subsidy,pv_already_installed_size_kW,can_install_pv,minergie,x_coord,y_coord,x_coord_norm,y_coord_norm
B11515632,SINGLE_RES,Institution,Z0885,P_385,2,7,4820,0,1,0,680777,246316,474,630
B11516115,SINGLE_RES,Institution,Z1882,P_384,1,10,6200,0,1,0,680535,246483,232,797
B11516118,SINGLE_RES,Institution,Z1658,P_110,1,7,4820,0,1,0,680810,245817,507,131
B11516119,MULTI_RES,Firm,Z0080,P_985,10,39,14860,0,1,0,682011,247127,1708,1441
B11518999,RETAIL,Firm,Z0132,P_770,1,48,17920,0,1,0,682325,247535,2022,1849
B11526435,HOSPITAL,Institution,Z1412,P_329,1,26,13560,0,1,0,682454,246657,2151,971
B140995,OFFICE,Landlord,Z1322,P_683,1,45,16900,0,1,0,682442,247054,2139,1368
B143513,SCHOOL,Institution,Z0141,P_334,1,62,22680,0,1,0,682413,246812,2110,1126
B143514,SINGLE_RES,Homeowner,Z1843,P_330,1,15,8500,0,1,0,682397,246677,2094,991
B143515,SINGLE_RES,Homeowner,Z1844,P_330,2,14,8040,0,1,0,682384,246704,2081,1018
B143521,SCHOOL,Institution,Z1261,P_330,1,23,12180,0,1,0,682409,246661,2106,975
B143522,SINGLE_RES,Homeowner,Z1843,P_330,1,15,8500,0,1,0,682393,246683,2090,997
B143523,SINGLE_RES,Homeowner,Z1844,P_330,1,14,8040,0,1,0,682387,246697,2084,1011
B143524,SINGLE_RES,Homeowner,Z1263,P_330,2,16,8960,0,1,0,682378,246716,2075,1030
B143526,SINGLE_RES,Institution,Z1370,P_334,1,10,6200,0,1,0,682373,246819,2070,1133
B143527,SINGLE_RES,Homeowner,Z1333,P_330,1,35,13500,0,1,0,682359,246758,2056,1072
B143528,SCHOOL,Institution,Z1379,P_334,1,44,16560,0,1,0,682417,246864,2114,1178
B143535,OFFICE,Firm,Z1365,P_325,1,41,15540,0,1,0,682435,246964,2132,1278
B143539,HOSPITAL,Institution,Z1411,P_329,1,14,8040,0,1,0,682465,246665,2162,979
B143541,MULTI_RES,Firm,Z0589,P_324,19,138,42800,0,1,0,682240,246699,1937,1013
B143542,MULTI_RES,Landlord,Z1378,P_324,3,25,13100,0,1,0,682284,246790,1981,1104
B143543,MULTI_RES,Landlord,Z1366,P_324,3,21,11260,0,1,0,682279,246775,1976,1089
B143544,RETAIL,Landlord,Z1380,P_324,1,16,8960,0,1,0,682272,246761,1969,1075
B143545,MULTI_RES,Landlord,Z0589,P_324,1,34,13160,0,1,0,682262,246747,1959,1061
B143546,MULTI_RES,Firm,Z1300,P_221,8,33,12820,0,1,0,682020,246444,1717,758
B143547,MULTI_RES,Firm,Z1300,P_221,5,31,12140,0,1,0,682001,246443,1698,757
B143548,MULTI_RES,Firm,Z1300,P_221,6,32,12480,0,1,0,681982,246442,1679,756
B143549,SCHOOL,Institution,Z0140,P_333,1,22,11720,0,1,0,682324,246562,2021,876
B143550,MULTI_RES,Landlord,Z1378,P_324,2,20,10800,0,1,0,682290,246805,1987,1119
B143551,SCHOOL,Institution,Z0140,P_333,1,19,10340,0,1,0,682196,246586,1893,900
B143552,MULTI_RES,Landlord,Z0201,P_221,1,31,12140,0,1,0,682074,246491,1771,805
B143553,RETAIL,Firm,Z0202,P_221,1,339,103100,0,1,0,682064,246567,1761,881
B143554,MULTI_RES,Firm,Z1301,P_221,4,38,14520,0,1,0,682013,246358,1710,672
B143555,MULTI_RES,Firm,Z1301,P_221,4,37,14180,0,1,0,681994,246358,1691,672
B143556,MULTI_RES,Firm,Z1304,P_221,5,31,12140,0,1,0,681969,246361,1666,675
B143557,MULTI_RES,Firm,Z1305,P_221,5,32,12480,0,1,0,681998,246388,1695,702
B143558,MULTI_RES,Firm,Z1305,P_221,4,32,12480,0,1,0,681979,246389,1676,703
B143559,MULTI_RES,Firm,Z1299,P_221,4,32,12480,0,1,0,681976,246414,1673,728
B143560,MULTI_RES,Firm,Z1303,P_221,4,28,14480,0,1,0,682014,246413,1711,727
B143561,MULTI_RES,Firm,Z1303,P_221,4,27,14020,0,1,0,681999,246414,1696,728
B143562,SINGLE_RES,Homeowner,Z1456,P_221,1,79,28460,0,1,0,682062,246395,1759,709
B143563,MULTI_RES,Landlord,Z0583,P_221,4,33,12820,0,1,0,682149,246446,1846,760
B143564,MULTI_RES,Landlord,Z0587,P_221,6,34,13160,0,1,0,682123,246443,1820,757
B143565,MULTI_RES,Landlord,Z0587,P_221,5,28,14480,0,1,0,682107,246436,1804,750
B143566,MULTI_RES,Landlord,Z0585,P_221,6,33,12820,0,1,0,682143,246474,1840,788
B143567,MULTI_RES,Landlord,Z0586,P_221,5,34,13160,0,1,0,682113,246467,1810,781
B143568,MULTI_RES,Landlord,Z0586,P_221,7,35,13500,0,1,0,682095,246460,1792,774
B143569,MULTI_RES,Landlord,Z0580,P_286,8,38,14520,0,1,0,682289,246479,1986,793
B143570,MULTI_RES,Landlord,Z0579,P_286,4,39,14860,0,1,0,682202,246485,1899,799
B143571,MULTI_RES,Landlord,Z0578,P_383,4,34,13160,0,1,0,682179,246481,1876,795
B143572,MULTI_RES,Landlord,Z0578,P_383,5,29,14940,0,1,0,682180,246463,1877,777
B143573,MULTI_RES,Landlord,Z1928,P_286,3,35,13500,0,1,0,682205,246447,1902,761
B143574,MULTI_RES,Landlord,Z0575,P_399,4,30,11800,0,1,0,682183,246426,1880,740
B143575,MULTI_RES,Landlord,Z0575,P_399,4,36,13840,0,1,0,682184,246408,1881,722
B143576,MULTI_RES,Landlord,Z0577,P_286,8,38,14520,0,1,0,682220,246420,1917,734
B143577,MULTI_RES,Landlord,Z0580,P_286,10,41,15540,0,1,0,682281,246463,1978,777
B143578,MULTI_RES,Firm,Z0124,P_286,7,39,14860,0,1,0,682252,246409,1949,723
B143579,MULTI_RES,Landlord,Z0124,P_286,9,39,14860,0,1,0,682243,246394,1940,708
B143580,MULTI_RES,Landlord,Z0124,P_286,11,39,14860,0,1,0,682234,246378,1931,692
B143581,MULTI_RES,Firm,Z0124,P_286,1,39,14860,0,1,0,682225,246363,1922,677
B143582,MULTI_RES,Firm,Z0124,P_286,12,39,14860,0,1,0,682216,246348,1913,662
B143583,MULTI_RES,Landlord,Z0124,P_286,5,39,14860,0,1,0,682200,246319,1897,633
B143584,MULTI_RES,Landlord,Z0576,P_286,6,35,13500,0,1,0,682208,246392,1905,706
B143585,MULTI_RES,Firm,Z0574,P_286,5,30,11800,0,1,0,682186,246372,1883,686
B143586,MULTI_RES,Landlord,Z0574,P_286,5,34,13160,0,1,0,682188,246354,1885,668
B143587,MULTI_RES,Landlord,Z0124,P_286,5,43,16220,0,1,0,682193,246306,1890,620
B143588,MULTI_RES,Landlord,Z0584,P_221,6,34,13160,0,1,0,682126,246416,1823,730
B143589,MULTI_RES,Landlord,Z0584,P_221,8,34,13160,0,1,0,682145,246419,1842,733
B143590,MULTI_RES,Landlord,Z1292,P_386,4,26,13560,0,1,0,682157,246365,1854,679
B143591,MULTI_RES,Landlord,Z1296,P_386,6,32,12480,0,1,0,682158,246341,1855,655
